feature,coef_standardized
bathrooms,559481.6087015988
area,556894.084154922
airconditioning_yes,389700.77748415957
prefarea_yes,344126.0395098876
stories,326971.666986295
parking,233124.18602827942
bedrooms,76934.35478062095
